index;file;ts;esco;onto;value;type
31;f3245;2022-11-30T01:35:01;http://data.europa.eu/esco/occupation/be54b8da-bc71-40f0-b150-45c5e0769375;http://ti-2022-11-2918:12:32.586072.org/onto#3332;0.86;INST
19;f799;2022-11-29T20:09:07;http://data.europa.eu/esco/occupation/1b38a27d-ef98-4d9f-b1b2-8c109bf47e79;http://ti-2022-11-2918:12:32.586072.org/onto#3332;0.98;INST
204;f250;2022-11-29T19:07:16;http://data.europa.eu/esco/isco/C3333;http://ti-2022-11-2918:12:32.586072.org/onto#3333;1.0;INST
37;f1604;2022-11-29T21:54:57;http://data.europa.eu/esco/occupation/8ec8df02-e9dd-43b7-b416-5846ae0414ab;http://ti-2022-11-2918:12:32.586072.org/onto#3334;0.97;INST
53;f251;2022-11-29T19:07:22;http://data.europa.eu/esco/isco/C3334;http://ti-2022-11-2918:12:32.586072.org/onto#3334;1.0;INST
69;f3192;2022-11-30T01:27:49;http://data.europa.eu/esco/occupation/b42d8731-386b-4d34-a824-4b736feee1e5;http://ti-2022-11-2918:12:32.586072.org/onto#3334;0.97;INST
117;f3334;2022-11-30T01:47:00;http://data.europa.eu/esco/occupation/d261a6a4-7ea7-4295-a84e-f4b1a56990d7;http://ti-2022-11-2918:12:32.586072.org/onto#3334;0.97;INST
149;f252;2022-11-29T19:07:27;http://data.europa.eu/esco/isco/C3339;http://ti-2022-11-2918:12:32.586072.org/onto#3339;1.0;INST
238;f253;2022-11-29T19:07:33;http://data.europa.eu/esco/isco/C334;http://ti-2022-11-2918:12:32.586072.org/onto#334;1.0;INST
24;f254;2022-11-29T19:07:38;http://data.europa.eu/esco/isco/C3341;http://ti-2022-11-2918:12:32.586072.org/onto#3341;1.0;INST
244;f255;2022-11-29T19:07:43;http://data.europa.eu/esco/isco/C3342;http://ti-2022-11-2918:12:32.586072.org/onto#3342;1.0;INST
35;f256;2022-11-29T19:07:48;http://data.europa.eu/esco/isco/C3343;http://ti-2022-11-2918:12:32.586072.org/onto#3343;1.0;INST
64;f257;2022-11-29T19:07:53;http://data.europa.eu/esco/isco/C3344;http://ti-2022-11-2918:12:32.586072.org/onto#3344;1.0;INST
118;f265;2022-11-29T19:08:44;http://data.europa.eu/esco/isco/C34;http://ti-2022-11-2918:12:32.586072.org/onto#34;0.99;INST
183;f266;2022-11-29T19:08:49;http://data.europa.eu/esco/isco/C341;http://ti-2022-11-2918:12:32.586072.org/onto#341;0.99;INST
3;f267;2022-11-29T19:08:55;http://data.europa.eu/esco/isco/C3411;http://ti-2022-11-2918:12:32.586072.org/onto#3411;1.0;INST
213;f274;2022-11-29T19:09:38;http://data.europa.eu/esco/isco/C343;http://ti-2022-11-2918:12:32.586072.org/onto#343;1.0;INST
51;f279;2022-11-29T19:10:06;http://data.europa.eu/esco/isco/C3435;http://ti-2022-11-2918:12:32.586072.org/onto#343;0.89;INST
6;f1307;2022-11-29T21:15:44;http://data.europa.eu/esco/occupation/66542dd6-05a6-4d9e-97ff-3f4858c31ff9;http://ti-2022-11-2918:12:32.586072.org/onto#3431;0.97;INST
